
===== 2026-04-08T19:17:28-04:00 | T5_scene_from_vision =====
cwd=/home/carrt-cse-project/workspace/ros2_kortex_ws
cmd=ros2 run adl_tasks scene_from_vision --ros-args -p scan_prune_unseen_objects:=true -p scan_duration_s:=10.0 

[INFO] [1775690250.474974035] [scene_from_vision_node]: Scene From Vision Node Started
[INFO] [1775690250.594588301] [scene_from_vision_node]: SceneFromVision: Updating planning scene. Tracking 5 object shape(s). memory_mode=True, scan_duration_s=10.0, scan_min_samples=3, scan_prune_unseen_objects=True, continuous_scene_updates=False, latch_first_detection_updates=True, log_object_pose_debug=False, apply_planning_scene_service_updates=True, publish_monitored_planning_scene_updates=True, side_viewpoint=wrist_mounted_camera_color_optical_frame->base_link, reject_table_objects_outside_bounds=False.
[INFO] [1775690250.596800293] [scene_from_vision_node]: SceneFromVision calibration: xy_offset=(-0.228, 0.004), z_offset=0.000, yaw_deg=4.00, xy_scale=1.3370, clamp_table_objects_to_table_bounds=False, table_bounds_margin_m=0.030.
[INFO] [1775690366.604049492] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690368.603185788] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690368.607078843] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690371.096608355] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690371.098497963] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690373.100578431] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690373.106939713] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690375.097863549] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
[INFO] [1775690375.100708945] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.690, y=0.154, z=0.117, yaw=-4.0deg
[INFO] [1775690377.611049138] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.702, y=0.025, z=0.099, yaw=+90.4deg
