
===== 2026-04-06T15:01:05-04:00 | T5_scene_from_vision =====
cwd=/home/carrt-cse-project/workspace/ros2_kortex_ws
cmd=ros2 run adl_tasks scene_from_vision --ros-args -p cube_world_x_offset_m:=-0.03 

[INFO] [1775502067.213240728] [scene_from_vision_node]: Scene From Vision Node Started
[INFO] [1775502067.376978337] [scene_from_vision_node]: SceneFromVision: Updating planning scene. Tracking 5 object shape(s). memory_mode=True, scan_duration_s=5.0.
[INFO] [1775502155.382358481] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.648, y=-0.156, z=0.117
[INFO] [1775502155.878622205] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502156.378662516] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502157.379222483] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.650, y=-0.156, z=0.117
[INFO] [1775502157.880451630] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502157.881803373] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.650, y=-0.157, z=0.117
[INFO] [1775502160.379930086] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502160.381846972] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.648, y=-0.156, z=0.117
[INFO] [1775502161.880787535] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502162.381185798] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.539, y=-0.089, z=0.099
[INFO] [1775502163.379038293] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502164.879630348] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502164.884322149] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502166.380299613] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502166.880578884] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502167.878999953] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.649, y=-0.156, z=0.117
[INFO] [1775502169.381595556] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502169.383190418] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502170.878408746] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502171.384214591] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502172.385133314] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502173.878599964] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502174.379204838] [scene_from_vision_node]: Published obj_4 (pose_update) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502176.379270616] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502176.878504722] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502178.379264607] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502179.379730251] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502180.379214234] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502181.379449831] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502182.878452170] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502183.380281930] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502185.378827282] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502185.878032833] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502187.380162074] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502187.878087867] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502189.878396124] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502190.379153554] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502191.878965157] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502192.879958462] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502193.879815439] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502195.379642368] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.651, y=-0.157, z=0.117
[INFO] [1775502196.379516790] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.540, y=-0.089, z=0.099
[INFO] [1775502197.878948368] [scene_from_vision_node]: Published obj_4 (heartbeat) at x=0.651, y=-0.157, z=0.117
